gene,f_stat,p_value
OLA1,55.25311001959105,3.744755508599363e-45
DONSON,53.94062818723666,4.2917247970252564e-44
UBE2A,53.558633818163614,8.733057281346085e-44
SMC1B,53.05957464204867,2.2101701655017405e-43
WRN,52.79332412502004,3.627825301361824e-43
ASH2L,52.55138427971024,5.691986032095459e-43
HUWE1,52.393239844733365,7.64107139407006e-43
ATXN3,52.294699097407204,9.180227096767267e-43
ASCC3,51.80331339501275,2.2929587009184877e-42
FXR1,51.73442509781259,2.6070150815361952e-42
ZFYVE19,50.71771957375179,1.735134153677911e-41
MDC1,50.61619824278626,2.0968877407766218e-41
ELL,50.49569057876207,2.6254782099265856e-41
RTEL1,50.45482802563906,2.83346011916578e-41
RNF168,50.287055803979776,3.8749602658005305e-41
MNAT1,49.08465220937497,3.6579714551262296e-40
DCP2,49.043755783998044,3.948397278172852e-40
TCEB2,48.39085825913971,1.3375499050114415e-39
ATAD5,47.71436736000856,4.739039476262538e-39
BRD1,46.908365557827736,2.1414114982505294e-38
CDK12,46.271227939159274,7.060358809830098e-38
MMS22L,46.04229178104434,1.0841126366047523e-37
KANSL2,45.200186581052805,5.254045225693996e-37
MED1,45.178153330123884,5.475635721702105e-37
HAUS5,44.38916952767267,2.4049595331568e-36
LCMT1,44.3693461167371,2.4960944951845554e-36
GTF2H2,44.29703108972814,2.8588403283473586e-36
TERT,43.819469548634345,7.005630038683264e-36
RBX1,43.69464681559435,8.85557966075607e-36
EID3,43.20811370243676,2.2080214887356594e-35
MSH4,42.40950672788864,9.90081681185881e-35
ZRANB3,41.96011860747872,2.304500694227536e-34
SUMO3,41.48913632112287,5.588160321333063e-34
TLK2,41.453507266392094,5.9755328714162774e-34
UBB,41.11490133365911,1.1299307023442923e-33
MDM2,41.10151095900724,1.1587634003481789e-33
RNF4,40.44926924363813,3.955278629610826e-33
SMG7,40.12886981395363,7.23104188256737e-33
RNF113A,39.96660866637098,9.815807458105324e-33
GPATCH1,39.88023351652657,1.1550107361995773e-32
SAMHD1,39.52082244416207,2.2733238426570442e-32
NSMCE1,38.4115319543328,1.840181207874071e-31
POLE4,37.940447579106134,4.47508318362582e-31
COPS5,37.55986944863484,9.177041835278e-31
POLE3,37.52399978018512,9.819844002312381e-31
RPA4,37.28229031148083,1.5497188470893256e-30
BTG2,36.78174646720847,3.987598751105377e-30
RFC2,35.273007028315,6.900884242598012e-29
RPRD2,34.049759102766565,6.980112595467373e-28
IGF1,33.897571936605694,9.310143336640077e-28
ARID1B,32.43830717813612,1.4761858649265918e-26
TCEB1,31.88932444751156,4.178107299702473e-26
DYRK1A,31.005472681097256,2.2324847917182645e-25
SNRPB2,30.961423376639004,2.42701389332487e-25
ERCC1,30.343813945101704,7.832712571622239e-25
CTNNBL1,30.126843508352813,1.182277172233932e-24
POLG2,29.256120237929892,6.17353396832363e-24
CETN2,29.235342157726336,6.421962112808233e-24
TTI1,28.211534843053443,4.489244912804211e-23
RNASEH2B,27.504456070563744,1.7206995235078443e-22
PARG,27.474462290087917,1.8216417420136068e-22
INO80B,27.252562272429206,2.7774052406670694e-22
SRCAP,26.514533548556322,1.1298582161529406e-21
SMUG1,26.13486791463097,2.3259295811405548e-21
SETDB1,25.872125676933496,3.8338266265984976e-21
SUMO2,25.841063214525427,4.067176783308969e-21
SWI5,25.785387050983708,4.521554863662845e-21
ARPC4,25.258910055180177,1.2310393865509312e-20
FBXO18,25.14159687423341,1.5389029568867422e-20
TRIM33,24.399504805447112,6.317239832486566e-20
DCLRE1A,23.85734645965828,1.7730028191355118e-19
CELF1,22.009795314556516,5.977822688749485e-18
THOC1,21.984237845120973,6.275991211012499e-18
TTI2,21.557271352656414,1.4153091651614372e-17
UBA2,21.321945775048736,2.2157055947280522e-17
TIPIN,19.645846008215937,5.395871903073086e-16
PRPF39,18.750724657684277,2.9682983696648422e-15
CDK4,17.04184305758224,7.685314282272396e-14
TOP3A,17.035590521032542,7.777329115666761e-14
IGHMBP2,16.758602442442186,1.3176340403915982e-13
SMC2,16.452586706665127,2.358927048517354e-13
DUT,15.25157829848476,2.3165511776361428e-12
UBE2N,14.313766252737832,1.3766757650177746e-11
SRSF6,14.108822755492145,2.0317474408222447e-11
HUS1B,13.777538206228193,3.810863209444254e-11
POLR2A,13.60223363715539,5.315187129141836e-11
CNOT2,13.072473402196957,1.4519483511982236e-10
DCLRE1B,13.028497155731602,1.5782072095841996e-10
CUL4A,12.946136257720715,1.8449229155403912e-10
SUMO4,12.518410419264235,4.14957738199776e-10
CCNF,11.668271944204035,2.074035111213265e-09
EME2,11.345338872663254,3.818746808348291e-09
ACTR5,10.13423093673454,3.750408301843921e-08
CUL1,10.0811395424561,4.1446340725504004e-08
SRSF11,9.464259704907349,1.3219978235000384e-07
TFDP1,8.52900105013484,7.628882375196685e-07
ANKRD52,8.105915017498411,1.6812809491309144e-06
RFC5,7.701389528599785,3.572374659909022e-06
CTC1,7.655989524527808,3.8872131996763e-06
COPS3,7.551771125945058,4.718452074299303e-06
DNTT,6.762726622844397,2.0363407764668207e-05
NSMCE4A,6.431413697610262,3.751679509541616e-05
MDM4,5.3597288985335005,0.0002667202078828274
HIST1H1B,4.048867715584145,0.0028110964819932816
BCAS2,2.377255381992854,0.049784904302375296
CAPZB,2.2657415935187406,0.059782531951413205
RBBP8,2.054646212386954,0.08415399229538753
TNP1,2.0326456916994653,0.08717490969894803
SPO11,0.5357204912022966,0.7095073524847353
