,mean,std
DLGAP5,7.296067554804096,6.5586648080421215
DMAP1,94.61058280824422,62.24541511929964
DMC1,0.33241466171456785,0.46085518266059955
DNA2,2.650218527050853,2.0172665504875837
DNAJC8,35.77296324599493,12.644513369013211
DNMT1,18.272109908092002,10.106301022808792
DNTT,0.8559863154480001,16.25537516465614
DNTTIP1,38.938970050743755,31.429750529333795
DONSON,9.220618725410302,5.298850922482952
DOT1L,12.635817420889968,7.706331518451488
DSCC1,7.755881341162128,5.935617090072994
DUT,81.49588221514387,39.446045459763816
DYRK1A,9.152865439729178,3.47820654209607
EID3,20.744446195212365,28.888067001175703
ELAVL1,38.11636754863885,9.129959211215827
ELL,6.371313607728562,2.3515219281127626
EME1,10.000068005590911,8.785115039777677
EME2,4.325569264667613,4.115472690147677
ENDOV,11.62331041951989,8.55002891285168
ENY2,87.39630199491314,47.83959946213492
EP300,24.442016427945283,11.942107157357427
EPC1,3.6983158610544415,1.882332713801991
ERCC1,15.535673711114702,8.513741700839917
ERCC2,23.619938997873177,13.01421610669501
ERCC3,25.643860739875784,6.607433851912055
ERCC4,7.480563211511034,4.08231453523774
ERCC5,1.3390515884434027,0.8460646779951839
ERCC6,3.2706747028212426,1.783707082950556
ERCC8,1.9388010977829415,0.7847131704118536
EREG,10.317737960554217,40.60630239681158
ESCO1,6.113764787346749,2.6174367572395068
ESCO2,3.097184209830509,3.0910990483350678
ESR1,3.6664287210112088,10.605500039829359
ETAA1,22.98550415229927,9.50451252483969
EXO1,4.1051838928250195,3.74888620070134
EYA1,0.6351745230463991,1.8717386815116572
EYA3,5.419631292018785,2.2737342710269006
FAM175A,2.4505103253478815,1.7952731314508068
FAM35A,5.039658896773387,2.568280003525775
FAN1,13.109670042094352,6.7247597281866405
FANCA,3.8319027323700383,3.248808990453196
FANCB,1.1053846155420328,1.0809609908908244
FANCC,1.4172546957897285,0.9593413435095752
FANCD2,4.845777124500349,3.3575437725956854
FANCE,14.586854971349739,12.347768168497824
FANCF,118.43439538258039,52.5148098667021
FANCG,68.04532808296652,38.78679684438475
FANCI,9.6560251674587,7.065722624221573
FANCL,3.7019268006948067,1.7941007726766836
FANCM,1.9389860208645684,1.2408646871815008
FBXO18,30.43152456731152,9.602599168423401
FBXW7,1.875234933246379,1.451872685808522
FEN1,171.76561443301017,112.40509215165035
FIGNL1,46.34171676475854,27.0887703915311
FKBPL,106.18549461315382,68.8025845837584
FLCN,25.860327987978085,12.553814249831046
FOXM1,53.07157365641208,51.525206414421376
FOXN3,2.714879409796467,1.7667401590453895
FXR1,15.257635685981494,6.875800103092532
FZR1,34.98689334090812,15.499024139156298
GADD45A,259.9536883554182,261.20254258318954
GADD45G,323.0008608551115,845.9870201961498
GAR1,35.06765392010916,17.509517841525973
GATAD1,79.79575287547117,66.09519971892665
GATAD2A,15.555397038057553,6.420428775835034
GEN1,9.780014293547133,6.809500831208446
GMFB,87.00246300825862,52.505443407883504
GPATCH1,5.250462175661152,2.040235488823497
GPS1,358.74261140065795,202.8806871201701
GRB2,38.0411892538804,16.562859330134522
GTF2F1,133.69009156936735,54.48387227114244
GTF2H1,15.64778483633545,5.406920494193255
GTF2H2,5.987661583667862,3.8560972859672664
GTF2H3,9.780062146444058,4.509389590001112
GTF2H4,81.46035257044173,34.44683557670471
GTF2H5,20.57649228252257,11.201894644629226
H2AFX,743.6685435818365,615.1533570225761
H2AFZ,1423.8818642192778,885.7101020614843
HAUS3,18.36134874937806,7.953456477183103
HAUS5,34.3268862019752,18.24684593011659
HELB,1.1626757995565065,1.7598948119192195
HELQ,4.2284251610110175,1.7577796025891517
HERC2,7.132530597765147,3.616403577267987
HES1,532.9811588143323,434.8792751521266
HFM1,0.1094646434005669,0.23046897487916213
HINFP,23.849247161516615,8.614705957006166
HIRA,8.972425526625106,7.032071005625859
HIST1H1B,34.07304894497412,483.1655682460868
HIST1H1C,1955.368684358277,3579.582470252254
HLTF,17.53333466071974,10.13278428399571
HMGB1,18.483656278102767,7.290241615501497
HMGB2,542.271605892629,385.87578940973026
HNRNPU,624.3984352571671,146.5390270677444
HRAS,156.44900782676936,144.79981017755466
HSF1,95.36701787426838,55.89872478352087
HSP90AB1,3120.101484101584,1505.7366572168633
HSPA8,3390.5075912385964,1561.938803159297
HUS1,1.1630460862544838,0.4942410305515857
HUS1B,4.058887936576894,15.80350550081875
HUWE1,37.48323777534199,15.41612907194163
IDH1,101.69354777240422,103.7308477542687
IGF1,4.68394822295203,11.478366208543296
IGHMBP2,10.956490708353135,10.062003266567583
ING4,51.49270647869039,30.3442676106753
INO80,5.450317886197731,1.752468396997774
INO80B,5.971783510670911,5.162330463423055
IP6K3,2.656365375359873,7.673495565144749
JMJD6,39.55871463892346,18.67485804692114
KANSL2,18.596785162018055,6.578598163195934
KANSL3,25.77338746544398,9.527261013717743
KAT2A,183.08124822463503,123.7999296697464
KAT5,82.41360409238699,31.803606480102836
KDM1A,30.119393406840146,14.566142942504175
KDM5A,11.626880833056411,5.7536241774407335
